fips,state,county,seat,lat,lon,int_lat,int_lon,point_source
53019,WA,Ferry County,Republic,48.648055555556,-118.735,48.473256,-118.533589,seat
53021,WA,Franklin County,Pasco,46.238611111111,-119.10861111111,46.537502,-118.903891,seat
53023,WA,Garfield County,Pomeroy,46.473333333333,-117.59805555556,46.429318,-117.536705,seat
53025,WA,Grant County,Ephrata,47.316944444444,-119.54805555556,47.213633,-119.467788,seat
53027,WA,Grays Harbor County,Montesano,46.985833333333,-123.59777777778,47.113732,-123.826735,seat
53029,WA,Island County,Coupeville,48.2183,-122.684,48.158554,-122.670649,seat
53031,WA,Jefferson County,Port Townsend,48.1175,-122.76083333333,47.805708,-123.527057,seat
53033,WA,King County,Seattle,47.605,-122.33,47.490552,-121.833977,seat
53035,WA,Kitsap County,Port Orchard,47.531666666667,-122.63833333333,47.639595,-122.649634,seat
53037,WA,Kittitas County,Ellensburg,46.997064,-120.545119,47.124441,-120.676709,seat
53039,WA,Klickitat County,Goldendale,45.82,-120.8225,45.870446,-120.779305,seat
53041,WA,Lewis County,Chehalis,46.66,-122.963,46.580071,-122.377444,seat
53043,WA,Lincoln County,Davenport,47.651111111111,-118.15166666667,47.582743,-118.417692,seat
53045,WA,Mason County,Shelton,47.213611111111,-123.10611111111,47.350832,-123.173103,seat
53047,WA,Okanogan County,Okanogan,48.366666666667,-119.58111111111,48.548453,-119.742235,seat
53049,WA,Pacific County,South Bend,46.663611111111,-123.80111111111,46.556587,-123.782419,seat
53051,WA,Pend Oreille County,Newport,48.180555555556,-117.0475,48.543825,-117.232191,seat
53053,WA,Pierce County,Tacoma,47.2525,-122.4475,47.051413,-122.15324,seat
53055,WA,San Juan County,Friday Harbor,48.53427,-123.01712,48.50719,-123.103769,seat
53057,WA,Skagit County,Mount Vernon,48.42,-122.32611111111,48.493292,-121.81577,seat
53059,WA,Skamania County,Stevenson,45.696111111111,-121.88833333333,46.024785,-121.953232,seat
53061,WA,Snohomish County,Everett,47.963333333333,-122.20055555556,48.054913,-121.765038,seat
53063,WA,Spokane County,Spokane,47.657194444444,-117.4235,47.620375,-117.403371,seat
53065,WA,Stevens County,Colville,48.545,-117.90083333333,48.388728,-117.854455,seat
53067,WA,Thurston County,Olympia,47.0425,-122.89305555556,46.935822,-122.830152,seat
53069,WA,Wahkiakum County,Cathlamet,46.2039,-123.384,46.294638,-123.424458,seat
53071,WA,Walla Walla County,Walla Walla,46.065,-118.33027777778,46.254606,-118.48037,seat
53073,WA,Whatcom County,Bellingham,48.754388888889,-122.47883333333,48.842653,-121.836432,seat
53075,WA,Whitman County,Colfax,46.884166666667,-117.36361111111,46.905944,-117.53539,seat
53077,WA,Yakima County,Yakima,46.601944444444,-120.50777777778,46.456558,-120.740145,seat
54001,WV,Barbour County,Philippi,39.151666666667,-80.043333333333,39.139725,-79.996947,seat
54003,WV,Berkeley County,Martinsburg,39.456388888889,-77.967777777778,39.447938,-78.037754,seat
54005,WV,Boone County,Madison,38.061944444444,-81.818333333333,38.022814,-81.713538,seat
54007,WV,Braxton County,Sutton,38.664444444444,-80.710277777778,38.69933,-80.73166,seat
54009,WV,Brooke County,Wellsburg,40.27737,-80.609349,40.272645,-80.578691,seat
54011,WV,Cabell County,Huntington,38.420833333333,-82.423611111111,38.419578,-82.243397,seat
54013,WV,Calhoun County,Grantsville,38.923055555556,-81.095,38.844159,-81.115478,seat
54015,WV,Clay County,Clay,38.462777777778,-81.08,38.459826,-81.081866,seat
54017,WV,Doddridge County,West Union,39.2956,-80.7758,39.264307,-80.711498,seat
54019,WV,Fayette County,Fayetteville,38.051111111111,-81.106944444444,38.030948,-81.08607,seat
54021,WV,Gilmer County,Glenville,38.935277777778,-80.837222222222,38.915867,-80.849413,seat
54023,WV,Grant County,Petersburg,38.99261,-79.12392,39.105988,-79.195064,seat
54025,WV,Greenbrier County,Lewisburg,37.804166666667,-80.440277777778,37.924418,-80.45059,seat
54027,WV,Hampshire County,Romney,39.345,-78.756944444444,39.312139,-78.611989,seat
54029,WV,Hancock County,New Cumberland,40.499166666667,-80.608055555556,40.516958,-80.570164,seat
54031,WV,Hardy County,Moorefield,39.063055555556,-78.965833333333,39.011361,-78.841729,seat
54033,WV,Harrison County,Clarksburg,39.280555555556,-80.344444444444,39.279182,-80.386498,seat
54035,WV,Jackson County,Ripley,38.821111111111,-81.714166666667,38.834234,-81.677717,seat
54037,WV,Jefferson County,Charles Town,39.284166666667,-77.856111111111,39.307398,-77.86322,seat
54039,WV,Kanawha County,Charleston,38.347222222222,-81.633333333333,38.328068,-81.523516,seat
54041,WV,Lewis County,Weston,39.041944444444,-80.47,38.988877,-80.495477,seat
54043,WV,Lincoln County,Hamlin,38.278888888889,-82.106944444444,38.17177,-82.077623,seat
54045,WV,Logan County,Logan,37.848333333333,-81.987777777778,37.830591,-81.940853,seat
54047,WV,McDowell County,Welch,37.437222222222,-81.578888888889,37.38276,-81.658204,seat
54049,WV,Marion County,Fairmont,39.481388888889,-80.143333333333,39.505839,-80.243402,seat
54051,WV,Marshall County,Moundsville,39.921388888889,-80.739444444444,39.854426,-80.671794,seat
54053,WV,Mason County,Point Pleasant,38.857527,-82.128571,38.770914,-82.029007,seat
54055,WV,Mercer County,Princeton,37.368055555556,-81.095833333333,37.403448,-81.106456,seat
54057,WV,Mineral County,Keyser,39.438888888889,-78.982777777778,39.404781,-78.95669,seat
54059,WV,Mingo County,Williamson,37.673888888889,-82.279722222222,37.721161,-82.158989,seat
54061,WV,Monongalia County,Morgantown,39.633611111111,-79.950555555556,39.633645,-80.059074,seat
54063,WV,Monroe County,Union,37.591111111111,-80.543055555556,37.554062,-80.550329,seat
54065,WV,Morgan County,Berkeley Springs,39.625555555556,-78.226944444444,39.557345,-78.256517,seat
