fips,state,county,seat,lat,lon,int_lat,int_lon,point_source,capitol_drive_s,capitol_road_m,capitol_snap_m,center_drive_s,center_road_m,center_snap_m
29167,MO,Polk County,Bolivar,37.616666666667,-93.416666666667,37.616761,-93.400817,seat,71500.5,1677182.5,34.3957337,27387.2,632288.3,34.3957337
29169,MO,Pulaski County,Waynesville,37.8203,-92.2136,37.824835,-92.207022,seat,65789.3,1557165.3,18.4966103,32850.3,731331.7,18.4966103
29171,MO,Putnam County,Unionville,40.4764,-93.0061,40.478606,-93.014531,seat,71262.1,1670706.5,10.60048445,25166.9,544195.7,10.60048445
29173,MO,Ralls County,New London,39.5853,-91.3992,39.553455,-91.524787,seat,61831.4,1461819.0,44.11046426,28889.2,650834.3,44.11046426
29175,MO,Randolph County,Huntsville,39.4356,-92.5442,39.439249,-92.492959,seat,67091.0,1562767.3,157.0750811,26137.7,569726.0,157.0750811
29177,MO,Ray County,Richmond,39.2775,-93.9758,39.308401,-93.995746,seat,71768.9,1693221.8,42.85478523,20797.0,447250.1,42.85478523
29179,MO,Reynolds County,Centerville,37.436111111111,-90.961111111111,37.366464,-90.972282,seat,64800.3,1521789.8,5.711637869,40537.7,896341.2,5.711637869
29181,MO,Ripley County,Doniphan,36.6222,-90.8222,36.65017,-90.874834,seat,62056.9,1460539.4,39.26733847,43186.5,981872.1,39.26733847
29183,MO,St. Charles County,St. Charles,38.788611111111,-90.511666666667,38.781102,-90.674915,seat,57923.6,1366073.5,14.6836123,33581.3,787513.6,14.6836123
29185,MO,St. Clair County,Osceola,38.0464,-93.6994,38.04223,-93.77656,seat,74082.9,1734833.3,28.31492493,24904.6,575811.1,28.31492493
29186,MO,Ste. Genevieve County,Ste. Genevieve,37.9769,-90.0486,37.885845,-90.161531,seat,60403.1,1381631.0,46.33094963,38528.1,902594.3,46.33094963
29187,MO,St. Francois County,Farmington,37.781944444444,-90.422222222222,37.810707,-90.473868,seat,61631.7,1453955.0,12.32517572,38997.2,912024.3,12.32517572
