anchor,fips,state,osrm_h,valhalla_h,road_km,ratio
Denver CO,08117,CO,1.8118888888888889,1.33,129.1932,1.3623224728487886
Denver CO,08043,CO,2.322111111111111,2.0172222222222222,182.8762,1.1511429358303498
Denver CO,08101,CO,2.1305277777777776,1.8916666666666666,180.8208,1.1262701908957415
Denver CO,56021,WY,1.876138888888889,1.6694444444444445,164.8954,1.123810316139767
Denver CO,08035,CO,0.6485277777777777,0.5711111111111111,46.2422,1.135554474708171
Denver CO,08119,CO,2.469111111111111,2.0305555555555554,175.9279,1.2159781121751025
Denver CO,08037,CO,2.503888888888889,1.9313888888888888,203.5646,1.296418812023587
Denver CO,08049,CO,2.4282222222222223,1.8388888888888888,154.4094,1.3204833836858008
Denver CO,08075,CO,2.290194444444445,1.9955555555555555,206.4939,1.1476475501113588
Denver CO,08087,CO,1.5213333333333334,1.3141666666666667,131.9959,1.1576410906785035
Denver CO,08019,CO,0.9728611111111112,0.7280555555555556,71.533,1.3362457077451355
Salt Lake City UT,49023,UT,1.5479444444444446,1.3625,136.8493,1.1361060142711519
Salt Lake City UT,49043,UT,0.8922777777777777,0.7522222222222222,69.6863,1.186189069423929
Salt Lake City UT,56023,WY,2.426638888888889,2.1838888888888888,212.5048,1.1111549224116002
Salt Lake City UT,56041,WY,1.5429166666666667,1.333888888888889,133.5399,1.1567055393586005
Salt Lake City UT,49003,UT,1.1594722222222222,1.0002777777777778,96.401,1.1591502360455428
Salt Lake City UT,49049,UT,0.9156944444444445,0.8058333333333333,73.5318,1.13633229920717
Salt Lake City UT,49045,UT,0.7413888888888889,0.6175,55.712,1.200629779577148
Salt Lake City UT,49013,UT,2.2815,1.9725,182.691,1.1566539923954373
Salt Lake City UT,49051,UT,0.9248611111111111,0.7647222222222222,70.44919999999999,1.2094079186342173
Salt Lake City UT,49007,UT,2.3943611111111114,2.0655555555555556,192.6203,1.1591850457235073
Salt Lake City UT,49033,UT,2.194166666666667,1.9358333333333333,185.55079999999998,1.1334481274214379
Salt Lake City UT,49005,UT,1.6440833333333333,1.4133333333333333,133.6571,1.1632665094339623
Salt Lake City UT,16041,ID,2.2645,2.0033333333333334,177.3423,1.1303660565723792
Salt Lake City UT,49057,UT,0.8058055555555556,0.7216666666666667,62.4809,1.1165896843725942
Salt Lake City UT,16071,ID,1.8906666666666665,1.6991666666666667,174.71470000000002,1.1127023050514957
Salt Lake City UT,49039,UT,2.4526666666666666,2.200277777777778,201.443,1.1147077389218532
Phoenix AZ,04019,AZ,2.16825,1.8716666666666666,187.3751,1.158459483526269
Phoenix AZ,04021,AZ,1.3355277777777776,1.1505555555555556,102.1615,1.1607677450507001
Phoenix AZ,04007,AZ,1.9571944444444442,1.5533333333333332,141.37429999999998,1.2599964234620886
Phoenix AZ,04025,AZ,2.007972222222222,1.6908333333333334,159.8465,1.1875636602595694
Seattle WA,53041,WA,1.8487222222222222,1.5294444444444444,143.01739999999998,1.2087540864511441
Seattle WA,41009,OR,3.214166666666667,2.6213888888888888,243.4339,1.226131185758186
Seattle WA,53011,WA,3.22875,2.7,265.8871,1.195833333333333
Seattle WA,53069,WA,3.226138888888889,2.7247222222222223,244.60060000000001,1.1840248751146907
Seattle WA,53077,WA,2.716083333333333,2.306111111111111,229.83,1.17777643941219
Seattle WA,53061,WA,0.6014166666666666,0.5094444444444445,43.9201,1.180534351145038
Seattle WA,53037,WA,2.1134166666666667,1.7622222222222221,173.3725,1.1992906683480455
Seattle WA,53027,WA,2.116416666666667,1.7508333333333332,159.7271,1.2088053307948599
Seattle WA,53073,WA,1.836138888888889,1.5272222222222223,144.051,1.2022735540196436
Seattle WA,53057,WA,1.2797500000000002,1.0805555555555555,99.2317,1.1843444730077124
Seattle WA,53049,WA,2.8657500000000002,2.3313888888888887,207.18720000000002,1.2292029071845587
Seattle WA,53015,WA,2.5295833333333335,2.1105555555555555,203.7543,1.198539089234009
Seattle WA,53067,WA,1.3127222222222223,1.0677777777777777,97.75189999999999,1.2293964620187308
Seattle WA,53009,WA,3.1743888888888887,2.19,222.9004,1.4494926433282598
Seattle WA,53029,WA,2.3342222222222224,1.6294444444444445,161.26479999999998,1.432526423457211
Seattle WA,53007,WA,3.031305555555556,2.5727777777777776,238.3161,1.178222846037573
Seattle WA,53055,WA,2.9623055555555555,2.7472222222222222,162.22310000000002,1.0782912032355916
Seattle WA,53045,WA,1.7852777777777777,1.448888888888889,132.7356,1.232170245398773
Seattle WA,53053,WA,0.7647777777777778,0.6425,54.344800000000006,1.19031560743623
Seattle WA,53031,WA,2.60025,1.7508333333333332,179.4083,1.485149928605426
Bakersfield CA,06083,CA,2.966472222222222,2.5716666666666668,239.2802,1.1535212788939295
Bakersfield CA,06031,CA,1.6169722222222223,1.5255555555555556,138.8415,1.0599235251274581
Bakersfield CA,06043,CA,3.671527777777778,3.3594444444444442,290.6452,1.0928973044484869
Bakersfield CA,06019,CA,2.0793333333333335,1.9430555555555555,180.8048,1.0701358112937813
Bakersfield CA,06027,CA,3.6405555555555558,3.188888888888889,297.5652,1.1416376306620208
Bakersfield CA,06111,CA,2.368666666666667,2.066666666666667,188.622,1.1461290322580646
Bakersfield CA,06107,CA,1.4370833333333333,1.4027777777777777,118.7315,1.0244554455445545
Bakersfield CA,06037,CA,2.197111111111111,1.9013888888888888,180.039,1.1555295836376918
Bakersfield CA,06059,CA,2.847722222222222,2.533888888888889,232.9256,1.1238544178908134
Bakersfield CA,06079,CA,2.8030833333333334,2.4769444444444444,222.9905,1.1316698441179769
Bakersfield CA,06039,CA,2.3808333333333334,2.212222222222222,209.4282,1.0762179809141137
